EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,"113,820","LOS ANGELES, CA",04/26/2022,10/01/2022
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,"113,820","LOS ANGELES, CA",05/27/2022,10/01/2022
COLLABERA INC,DATA ENGINEER,"114,000","PLANO, TX",01/31/2022,02/07/2022
SAS INFO INC,DATA ENGINEER,"114,760","BELLEVUE, WA",05/22/2022,10/01/2022
VIGNA SOLUTIONS INC,DATA ENGINEER,"116,000","PLANO, TX",04/01/2022,10/01/2022
PINNACLE TECHNICAL RESOURCES INC,DATA ENGINEER,"116,100","RICHMOND, VA",04/28/2022,10/01/2022
PLAYSTUDIOS US LLC,DATA ENGINEER,"116,160","LAS VEGAS, NV",09/21/2022,10/15/2022
SBASE TECHNOLOGIES INC,DATA ENGINEER,"116,700","BURLINGTON, MA",11/23/2022,12/01/2022
DIGITAL ITECHNOLOGY LLC,DATA ENGINEER,"116,800","AUSTIN, TX",06/24/2022,07/04/2022
EALEARN INC,DATA ENGINEER,"117,080","PLEASANTON, CA",01/25/2022,01/25/2022
EALEARN INC,DATA ENGINEER,"117,080","PLEASANTON, CA",01/25/2022,01/25/2022
SAS INFO INC,DATA ENGINEER,"117,080","OAKLAND, CA",06/03/2022,10/01/2022
CDI SOLUTIONS INC,DATA ENGINEER,"119,660","SUNNYVALE, CA",09/22/2022,09/26/2022
HIRE IT PEOPLE INC,DATA ENGINEER,"120,000","MOORESVILLE, NC",04/03/2022,04/11/2022
HIRE IT PEOPLE INC,DATA ENGINEER,"120,000","PISCATAWAY, NJ",04/08/2022,04/18/2022
POPULUS GROUP LLC,DATA ENGINEER,"122,000","WOODBRIDGE, NJ",08/05/2022,08/15/2022
EALEARN INC,DATA ENGINEER,"125,860","PLEASANTON, CA",03/23/2022,03/23/2022
NIFTEK INC,DATA ENGINEER,"125,860","SUNNYVALE, CA",01/05/2022,01/10/2022
PATIENTPAY INC,DATA ENGINEER,"127,000","NEW HILL, NC",03/29/2022,04/18/2022
EVERSOFT TECHNOLOGIES LLC,DATA ENGINEER,"128,000","WESTLAKE, TX",04/08/2022,04/18/2022
EPITEC INC,DATA ENGINEER,"128,240","UNION CITY, CA",12/08/2022,12/19/2022
TRIBOLATECH INC,DATA ENGINEER,"129,800","FREMONT, CA",04/01/2022,04/11/2022
POPULUS GROUP LLC,DATA ENGINEER,"130,000","MENLO PARK, CA",11/01/2022,11/28/2022
POPULUS GROUP LLC,DATA ENGINEER,"130,000","MENLO PARK, CA",11/01/2022,11/28/2022
HARVEY NASH INC,DATA ENGINEER,"134,000","SANDY SPRINGS, GA",11/09/2022,11/28/2022
PURPLE WEB INC,DATA ENGINEER,"135,940","SAN JOSE, CA",12/01/2022,12/12/2022
PURPLE WEB INC,DATA ENGINEER,"135,940","SAN JOSE, CA",11/07/2022,11/15/2022
STRATEGIC STAFFING SOLUTIONS LC,DATA ENGINEER,"140,000","HOUSTON, TX",11/17/2022,01/01/2023
HARVEY NASH INC,DATA ENGINEER,"140,000","SAN JOSE, CA",11/16/2022,12/19/2022
APTONET INC,DATA ENGINEER,"140,000","ATLANTA, GA",03/11/2022,04/05/2022
VHIREU LLC,DATA ENGINEER,"140,000","KATY, TX",02/11/2022,02/21/2022
VHIREU LLC,DATA ENGINEER,"140,000","EXTON, PA",02/14/2022,02/23/2022
COLLABERA INC,DATA ENGINEER,"140,000","GREENWOOD VILLAGE, CO",04/22/2022,10/01/2022
